año	CAD	num	total	deuda	créditos	nombre
2009	520	282	208185343	208185343	0	AYUDA ALIM. PARA EL DES. / SEGURIDAD ALIMENTARIA
2009	530	8	10373830	10373830	0	OTRAS AYUDAS PARA LA ADQUISICIÓN DE BIENES
2009	600	39	125855424	163989307	38133883	ACTIVIDADES RELACIONADAS CON LA DEUDA 
2009	720	1312	357849847	366183180	8333333	AYUDAS DE EMERGENCIA
2009	730	236	87408225	87408225	0	AYUDA A LA RECONSTRUCCIÓN Y REHABILITACIÓN
2009	740	239	19778761	19778761	0	PREVENCIÓN DE DESASTRES
2009	910	523	187563901	187563901	0	COSTES ADMINISTRATIVOS DONANTES.
2009	930	113	28435153	28435153	0	AYUDA A REFUGIADOS EN EL PAÍS DONANTE
2009	998	2914	224119691	225968986	1849295	SIN ESPECIFICACIÓN / NO CLASIFICADOS.
2010	111	1043	127874925	129737705	1862780	EDUCACIÓN, NIVEL NO ESPECIFICADO
2010	112	1103	130926055	130926055	0	EDUCACIÓN BÁSICA
2010	113	532	45200597	48892338	3691741	EDUCACIÓN SECUNDARIA
2010	114	875	52420554	53347599	927045	EDUCACIÓN POST-SECUNDARIA
2010	121	908	85455916	91208756	5752840	SALUD, GENERAL
2010	122	1691	175064372	184391439	9327067	SALUD BÁSICA
2010	130	1405	122525022	124027964	1502942	PROGR. / POLÍTICAS SOBRE POBL. Y SALUD REPR.
2010	140	1377	295432790	302616585	7183795	ABASTECIMIENTO DE AGUA Y SANEAMIENTO
2010	151	4876	458665678	469363318	10697640	GOBIERNO Y SOCIEDAD CIVIL, NO ESPECIFICADO
2010	152	462	87107201	87107201	0	PREV. Y RESOL. DE CONFLICTOS, PAZ Y SEGURIDAD
2010	160	2647	220504144	220504144	0	OTROS SERVICIOS E INFRAESTRUCTURAS SOCIALES
2010	210	635	168288233	173203880	4915647	TRANSPORTE Y ALMACENAMIENTO
2010	220	376	14039385	16382411	2343026	COMUNICACIONES
2010	230	662	240744647	247923709	7179062	GENERACIÓN Y SUMINISTRO DE ENERGÍA. 
2010	240	442	88938582	110251362	21312780	SERVICIOS BANCARIOS Y FINANCIEROS
2010	250	268	105432708	105432708	0	EMPRESAS Y OTROS SERVICIOS
2010	311	1909	453133383	453133383	0	AGRICULTURA
2010	312	236	22322591	22322591	0	SILVICULTURA
2010	313	199	19544760	25016242	5471482	PESCA
2010	321	746	38076013	44269400	6193387	INDUSTRIA
2010	322	88	6730993	6754586	23593	INDUSTRIAS EXTRACTIVAS
2010	323	27	3680780	3680780	0	CONSTRUCCIÓN
2010	331	390	19051447	19052363	916	COMERCIO
2010	332	147	7117087	7117087	0	TURISMO
2010	410	1226	145541984	145541984	0	PROTECCIÓN GENERAL DEL MEDIO AMBIENTE
2010	430	1893	237487566	241445233	3957667	OTROS MULTISECTORIAL
2010	510	132	99774214	99774214	0	APOYO PRESUPUESTARIO GENERAL
2010	520	239	48132041	48132041	0	AYUDA ALIM. PARA EL DES. / SEGURIDAD ALIMENTARIA
2010	530	32	23948574	23948574	0	OTRAS AYUDAS PARA LA ADQUISICIÓN DE BIENES
2010	600	48	298285120	369044203	70759083	ACTIVIDADES RELACIONADAS CON LA DEUDA 
2010	720	1775	287074973	295408306	8333333	AYUDAS DE EMERGENCIA
2010	730	222	51705458	51705458	0	AYUDA A LA RECONSTRUCCIÓN Y REHABILITACIÓN
2010	740	359	17318439	17318439	0	PREVENCIÓN DE DESASTRES
2010	910	554	185527678	185527678	0	COSTES ADMINISTRATIVOS DONANTES.
2010	930	131	28036880	28036880	0	AYUDA A REFUGIADOS EN EL PAÍS DONANTE
2010	998	2822	80728387	186514021	105785634	SIN ESPECIFICACIÓN / NO CLASIFICADOS.
2011	111	995	126083712	128140047	2056335	EDUCACIÓN, NIVEL NO ESPECIFICADO
2011	112	883	56280486	56280486	0	EDUCACIÓN BÁSICA
2011	113	465	35346891	37549718	2202827	EDUCACIÓN SECUNDARIA
2011	114	907	63201277	64570800	1369523	EDUCACIÓN POST-SECUNDARIA
2011	121	753	68905897	76049360	7143463	SALUD, GENERAL
2011	122	1480	82949704	91344239	8394535	SALUD BÁSICA
2011	130	1192	39380054	40414859	1034805	PROGR. / POLÍTICAS SOBRE POBL. Y SALUD REPR.
2011	140	1368	116236403	135623637	19387234	ABASTECIMIENTO DE AGUA Y SANEAMIENTO
2011	151	4352	351872210	353632615	1760405	GOBIERNO Y SOCIEDAD CIVIL, NO ESPECIFICADO
2011	152	434	103751675	103751675	0	PREV. Y RESOL. DE CONFLICTOS, PAZ Y SEGURIDAD
2011	160	2558	167308316	167334725	26409	OTROS SERVICIOS E INFRAESTRUCTURAS SOCIALES
2011	210	571	106514845	123153597	16638752	TRANSPORTE Y ALMACENAMIENTO
2011	220	317	7427021	9693804	2266783	COMUNICACIONES
2011	230	664	105154222	116070026	10915804	GENERACIÓN Y SUMINISTRO DE ENERGÍA. 
2011	240	416	20981249	46435276	25454027	SERVICIOS BANCARIOS Y FINANCIEROS
2011	250	286	27193822	27193822	0	EMPRESAS Y OTROS SERVICIOS
2011	311	1773	159513591	160187513	673922	AGRICULTURA
2011	312	186	8275410	8275410	0	SILVICULTURA
2011	313	209	11123609	16335649	5212040	PESCA
2011	321	563	164560866	170156439	5595573	INDUSTRIA
2011	322	90	3538605	3583554	44949	INDUSTRIAS EXTRACTIVAS
2011	323	29	380759	380759	0	CONSTRUCCIÓN
2011	331	351	20973902	20973902	0	COMERCIO
2011	332	111	4475466	4475466	0	TURISMO
2011	410	916	59255282	59255282	0	PROTECCIÓN GENERAL DEL MEDIO AMBIENTE
2011	430	1934	186936930	191693918	4756988	OTROS MULTISECTORIAL
2011	510	111	123462160	123462160	0	APOYO PRESUPUESTARIO GENERAL
2011	520	193	34419685	34419685	0	AYUDA ALIM. PARA EL DES. / SEGURIDAD ALIMENTARIA
2011	530	9	15701658	15972377	270719	OTRAS AYUDAS PARA LA ADQUISICIÓN DE BIENES
2011	600	41	95348630.88	101090411.88	5741781	ACTIVIDADES RELACIONADAS CON LA DEUDA 
2011	720	1670	252524511	260857844	8333333	AYUDAS DE EMERGENCIA
2011	730	196	35624111	35624111	0	AYUDA A LA RECONSTRUCCIÓN Y REHABILITACIÓN
2011	740	369	18960285	18960285	0	PREVENCIÓN DE DESASTRES
2011	910	435	180926865	180926865	0	COSTES ADMINISTRATIVOS DONANTES.
2011	930	131	25118364	25118364	0	AYUDA A REFUGIADOS EN EL PAÍS DONANTE
2011	998	2468	108169578.96000001	197436756.96	89267178	SIN ESPECIFICACIÓN / NO CLASIFICADOS.
2012	111	369	41339601.76999999	41900398.16999999	560796.4	EDUCACIÓN, NIVEL NO ESPECIFICADO
2012	112	296	13740853.630000006	13740853.630000006	0	EDUCACIÓN BÁSICA
2012	113	160	14710852.089999996	15867909.279999996	1157057.19	EDUCACIÓN SECUNDARIA
2012	114	548	13102292.439999998	13221328.439999998	119036	EDUCACIÓN POST-SECUNDARIA
2012	121	241	24231246.250000004	27860606.250000004	3629360	SALUD, GENERAL
2012	122	497	37191538.33999999	37737604.08999998	546065.75	SALUD BÁSICA
2012	130	136	12592865.5	12774082.71	181217.21000000002	PROGR. / POLÍTICAS SOBRE POBL. Y SALUD REPR.
2012	140	411	19823934.19999999	20296659.44999999	472725.25	ABASTECIMIENTO DE AGUA Y SANEAMIENTO
2012	151	879	88184315.19999997	88231619.92999998	47304.73	GOBIERNO Y SOCIEDAD CIVIL, NO ESPECIFICADO
2012	152	71	40899950.60000002	40899950.60000002	0	PREV. Y RESOL. DE CONFLICTOS, PAZ Y SEGURIDAD
2012	160	467	43116281.919999994	43144850.07999999	28568.16	OTROS SERVICIOS E INFRAESTRUCTURAS SOCIALES
2012	210	116	868773.33	1788747.1199999999	919973.79	TRANSPORTE Y ALMACENAMIENTO
2012	220	72	633588.8100000003	1443061.8800000001	809473.0700000001	COMUNICACIONES
2012	230	137	1028854.7199999994	3478568.88	2449714.1599999997	GENERACIÓN Y SUMINISTRO DE ENERGÍA. 
2012	240	105	-6261456.259999998	37105631.2	43367087.459999986	SERVICIOS BANCARIOS Y FINANCIEROS
2012	250	23	1555825.31	1555825.31	0	EMPRESAS Y OTROS SERVICIOS
2012	311	494	50159388.6	50876082.779999994	716694.1799999999	AGRICULTURA
2012	312	31	535115.6000000001	535115.6000000001	0	SILVICULTURA
