año	país	créditos
2010	ZA	0
2010	ZM	0
2010	ZW	0
2011	AF	0
2011	AG	0
2011	AL	900000
2011	AM	0
2011	AO	5717578
2011	AR	11317636
2011	AZ	0
2011	BA	761303
2011	BD	322817
2011	BF	0
2011	BI	0
2011	BJ	0
2011	BO	1492597
2011	BR	0
2011	BT	0
2011	BW	0
2011	BY	0
2011	BZ	0
2011	CD	0
2011	CF	0
2011	CG	0
2011	CI	3055751
2011	CK	0
2011	CL	0
2011	CM	0
2011	CN	28884155
2011	CO	5652574
2011	CR	1396151
2011	CU	0
2011	CV	345907
2011	DJ	45656
2011	DM	0
2011	DO	3333830
2011	DZ	11199189
2011	EC	14921938
2011	EG	443988
2011	EH	0
2011	ER	0
2011	ET	0
2011	FJ	0
2011	FM	0
2011	GA	0
2011	GD	0
2011	GE	0
2011	GH	578070
2011	GM	0
2011	GN	0
2011	GQ	0
2011	GT	0
2011	GW	0
2011	GY	0
2011	HN	17371516
2011	HT	0
2011	ID	15894542
2011	IN	139408
2011	IQ	0
2011	IR	0
2011	JM	0
2011	JO	299144
2011	KE	787577
2011	KG	0
2011	KH	0
2011	KI	0
2011	KM	0
2011	KN	0
2011	KP	0
2011	KZ	1576486
2011	LA	0
2011	LB	0
2011	LC	0
2011	LK	1220605
2011	LR	0
2011	LS	0
2011	LY	0
2011	MA	18370232
2011	MD	0
2011	ME	0
2011	MG	0
2011	MH	0
2011	MK	0
2011	ML	0
2011	MM	0
2011	MN	0
2011	MR	789190
2011	MS	0
2011	MU	0
2011	MV	0
2011	MW	0
2011	MX	27505362
2011	MY	0
2011	MZ	0
2011	NA	316011
2011	NE	0
2011	NG	0
2011	NP	0
2011	NR	0
2011	NU	0
2011	PA	2266069
2011	PE	2888672
2011	PG	0
2011	PH	5322537
2011	PK	0
2011	PS	0
2011	PW	0
2011	PY	1236306
2011	RS	3000000
2011	RW	0
2011	SB	0
2011	SC	0
2011	SD	0
2011	SL	0
2011	SN	0
2011	SO	0
2011	SR	0
2011	ST	0
2011	SV	1710378
2011	SY	0
2011	SZ	0
2011	TD	96000
2011	TG	0
2011	TH	0
2011	TJ	0
2011	TK	0
2011	TL	0
2011	TM	0
2011	TN	4192724
2011	TO	0
2011	TR	1636300
2011	TV	0
2011	TZ	5741781
2011	UA	0
2011	UG	479856
2011	UY	3065649
2011	UZ	257509
2011	VC	0
2011	VE	2387755
2011	VN	2365043
2011	VU	0
2011	WF	0
2011	WS	0
2011	XK	0
2011	YE	764365
2011	ZA	0
2011	ZM	0
2011	ZW	0
2012	AF	0
2012	AL	1200000
2012	AM	0
2012	AO	0
2012	AR	2590513
2012	BA	3101302.67
2012	BD	174604.21
2012	BF	0
2012	BI	0
2012	BJ	0
2012	BO	5167420.62
2012	BR	0
2012	BY	0
2012	BZ	0
2012	CD	0
2012	CF	0
2012	CG	0
2012	CI	3083975
2012	CL	0
2012	CM	531160
2012	CN	3468252.4299999997
2012	CO	5166148.2
2012	CR	347132
2012	CU	0
2012	CV	0
2012	DJ	0
2012	DO	3699829.26
2012	DZ	0
2012	EC	7426034.7
2012	EG	2265514.77
2012	EH	0
2012	ET	0
2012	GA	0
2012	GH	0
2012	GM	0
2012	GN	0
2012	GQ	0
2012	GT	0
2012	GW	0
2012	GY	0
2012	HN	28568.16
2012	HT	290643.6
2012	ID	7554033.59
2012	IN	0
2012	IQ	0
2012	IR	0
2012	JM	0
2012	JO	323601.32
2012	KE	103045.32
2012	KG	0
2012	KH	0
2012	KZ	0
2012	LB	0
2012	LK	0
2012	LR	0
2012	LS	0
2012	LY	0
2012	MA	3743500.2399999998
2012	MD	0
2012	ME	0
2012	MG	0
2012	MK	0
2012	ML	0
2012	MN	0
2012	MR	0
2012	MW	0
2012	MX	4293823.36
2012	MY	0
2012	MZ	0
2012	NA	0
2012	NE	0
2012	NG	0
2012	NP	0
2012	PA	600721.7999999998
2012	PE	4627644.14
2012	PH	509841.29
2012	PK	0
2012	PS	0
2012	PY	459114.26
2012	RS	3000000
2012	RW	0
2012	SC	0
2012	SD	0
2012	SL	0
2012	SN	0
2012	SO	0
2012	SS	0
2012	ST	0
2012	SV	14936.82
2012	SY	0
2012	TD	0
2012	TG	0
2012	TH	0
2012	TJ	0
2012	TL	0
2012	TN	822136
2012	TR	190452.84
2012	TZ	0
2012	UA	0
2012	UG	0
2012	UY	418499.4199999999
2012	VC	0
2012	VE	0
2012	VN	294047.58999999997
2012	VU	0
2012	XK	0
2012	YE	0
2012	ZA	0
2012	ZM	0
2012	ZW	0
