año	país	deuda
2010	UY	10567540
2010	UZ	3761819
2010	VC	792746
2010	VE	7872150
2010	VN	44578739
2010	VU	185945
2010	WF	10277
2010	WS	679954
2010	XK	18794302
2010	YE	6780133
2010	YT	70356
2010	ZA	11944713
2010	ZM	13727841
2010	ZW	9483940
2011	AF	66244771
2011	AG	959143
2011	AL	6026002
2011	AM	3104858
2011	AO	10482071
2011	AR	13739215
2011	AZ	2324494
2011	BA	36138982
2011	BD	24673376
2011	BF	18040431
2011	BI	11658517
2011	BJ	11228282
2011	BO	43801891
2011	BR	16714152
2011	BT	444311
2011	BW	2713009
2011	BY	1221083
2011	BZ	563344
2011	CD	109423922
2011	CF	8104221
2011	CG	6748422
2011	CI	13476147
2011	CK	9011
2011	CL	7041879
2011	CM	11297623
2011	CN	16360107
2011	CO	45038732
2011	CR	5049665
2011	CU	15849201
2011	CV	14515958
2011	DJ	1716124
2011	DM	1593997
2011	DO	45678887
2011	DZ	14317412
2011	EC	32491867
2011	EG	21737383
2011	EH	16304384
2011	ER	2997627
2011	ET	60356406
2011	FJ	504005
2011	FM	33250
2011	GA	1033115
2011	GD	900727
2011	GE	11561206
2011	GH	18200882
2011	GM	6056855
2011	GN	8459184
2011	GQ	11120118
2011	GT	35841043
2011	GW	7254481
2011	GY	2070992
2011	HN	34055896
2011	HT	88893510
2011	ID	14188414
2011	IN	31379264
2011	IQ	5103247
2011	IR	783516
2011	JM	7267277
2011	JO	14276450
2011	KE	21468700
2011	KG	3385653
2011	KH	18761250
2011	KI	52752
2011	KM	904366
2011	KN	586594
2011	KP	2224041
2011	KZ	1371576
2011	LA	2382286
2011	LB	22142975
2011	LC	1758448
2011	LK	7452029
2011	LR	10510583
2011	LS	6093516
2011	LY	7207546
2011	MA	59764798
2011	MD	10396887
2011	ME	1069362
2011	MG	5276823
2011	MH	36589
2011	MK	3899963
2011	ML	25410083
2011	MM	4880276
2011	MN	1592087
2011	MR	29741284
2011	MS	571885
2011	MU	4547485
2011	MV	712934
2011	MW	18092425
